Company Name,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year
Interglobe Aviation Ltd.,3483.1,1278.8,307,58173.8,-2012.4,56895,55558.3,40416.8,40416.8,15707.9,1278.8,55744.7,700970.98,-466.5,8956.7,3/31/2012,4980.2,1497.1,307,99413.4,-2689.2,91539.9,86474.1,64310.8,64310.8,22118.2,7873.5,95618.8,694344.6,-18896.9,17412.9,3/31/2013,3732.6,-1247.6,307,120841.4,-9323.4,117664.4,109154.4,98002.6,98002.6,29958.2,3169.9,114773.1,691224.03,-29137.8,15955,3/31/2014,3863.2,130.6,307,147560.5,-14033.2,134550.5,123135.1,117236.1,117236.1,30912,13041.7,142806.5,696444.24,-9405.1,23838.9,3/31/2015,23569.4,6590.3,3603.6,170116.5,-3738.3,150266.3,132328.6,146709,146709,44345.7,19861.6,161399.1,676141.31,-13428.5,31157.5,3/31/2016,34118.8,10066.1,3614.7,193938.3,9332,177349.3,163278,177710.3,177710.3,62160.3,16591.9,185300.7,671441.2,-30378.7,37820.8,3/31/2017,66871.6,7623,3844.1,239752.6,83259.5,217316.3,198667.7,244409.3,244409.3,74040.7,22423.7,229732.9,668532.53,-41596.4,39031,3/31/2018,65545.1,-1219.1,3844.1,298222.2,98973.3,296667.3,281721.6,288932.9,288932.9,86131.8,1561.4,284967.7,633609.19,-25360.5,31600,3/31/2019,54717.7,-4799.4,3848,373026.1,66721,375538.2,301406.9,456000.4,456000.4,164217.5,-2481.6,356222.9,629275.07,-45669.1,69433,3/31/2020,-3198.8,-58297.9,3849.1,162272.1,25966.6,220558.4,150849.8,463075.5,463075.5,189130.5,-58297.9,145891.8,596913.68,32457.1,-16204.1,3/31/2021
Ipca Laboratories Ltd.,12370.4,2333.4,251.7,23977.9,5497.5,21929.1,19485.9,23349.1,23349.1,6352.6,2801.7,23848.7,218959.43,-2480.5,3188.4,3/31/2012,15446.1,2725.4,252.4,28473.2,7378.2,25832.9,22793.9,27146.5,27146.5,6296.9,3313.9,28286.6,220532.39,-2609.2,3868.5,3/31/2013,19563.7,4035.5,252.4,33180,7840.9,29087.6,25645.7,32241.9,32241.9,7796.5,4773.7,32965.7,220722.67,-3620.7,5147.8,3/31/2014,22080.9,2409.2,252.4,31782.9,6825.7,29974.8,26931.8,38335.4,38335.4,8941.4,2561.1,31387.8,217830.44,-6857.1,4553.4,3/31/2015,22578.2,773.3,252.4,28893.3,4950.9,27554,25135.6,39053.7,39053.7,9606.1,925.2,28579.6,219073.59,-2136.2,6960,3/31/2016,24498.8,1882.9,252.4,32147.8,5964.7,30308.6,27732.8,40264.3,40264.3,9469.2,1882.9,31735.6,219631.74,-1455.5,2711.4,3/31/2017,26697.1,2179.4,252.4,32772.5,7090,29984.8,27596.1,41849.4,41849.4,9944.3,2331.1,32324.6,222638.14,-1193.4,3238.6,3/31/2018,31113.9,4396.7,252.7,37097.4,10860.1,33609.7,30566,45415.7,45415.7,10144.3,4549.1,36477.9,220202.58,-1378.4,4956.5,3/31/2019,36403.3,5306.1,252.7,44515.9,12839.3,39541.8,36173.2,52714.4,52714.4,12429.5,6524.6,43843,219606.37,-4991.3,5614.3,3/31/2020,47273.5,10392.9,253.7,52677.6,19951.7,42977.2,38408.2,60998,60998,10668.2,11407.7,51626.9,222219.52,-5595.6,10960.6,3/31/2021
Ircon International Ltd.,17330.4,3606.3,99,38786.3,12377.2,33868,28153.5,55292.6,55292.6,30984.9,4699.2,35398.7,36586.06,796.7,5917.2,3/31/2012,22805.7,5574.3,198,45525.2,16598.6,38418.9,33538.4,67298.6,67298.6,36267.8,7299.9,41831.4,36774.17,458,5560.1,3/31/2013,29732.3,6926.6,198,44530.6,11616.5,35436.2,28559.2,69009,69009,33285,9065,38619.5,36539.04,1349.1,636.5,3/31/2014,33337.1,3604.8,198,33492,11226.1,27427.2,23065.5,74782.6,74782.6,35956.4,5793.9,28280.7,36350.93,-6481.9,4832.6,3/31/2015,36472.1,1758.5,198,29635.2,30645.2,25634.3,21470.8,81666.7,81666.7,32767.4,3950.4,24261.4,35551.49,-486.8,14017.9,3/31/2016,37288.6,1471.1,989.8,34701.2,28230.2,31491.3,27601.5,94719.8,94719.8,36447.3,3688.5,30028.1,35175.29,-18228,10205.7,3/31/2017,36573.9,1563.3,940.5,42554.6,22264.8,38772.3,35709.7,130187.5,130187.5,47835.7,3879,38497.6,35363.39,56.2,-26108.4,3/31/2018,38554.9,2058.9,940.5,50679.5,1058.6,47921.3,42297,132905.4,132905.4,56788.2,4446.8,44233,33999.64,6877.2,-12431.7,3/31/2019,40670.8,2145.4,940.5,57452.8,-8995,52417.1,47298.9,129533.7,129533.7,62080.2,4897.8,52020.6,33341.28,-1378.6,3419.1,3/31/2020,43124.3,2465.6,940.5,53911,-8758.5,47732,43850.9,129938.9,129938.9,66630.5,4045.6,49477.7,33247.23,-7055.7,8049,3/31/2021
J B Chemicals & Pharmaceuticals Ltd.,9369.3,2390.5,169.4,14829.6,6508.7,8457.4,6005.5,11768.1,11768.1,1825.3,6427,6517.6,122094.12,-2358.6,8507.9,3/31/2012,9920.6,552.1,169.4,8527.8,6808.8,7645.2,7020.6,12781.6,12781.6,2271.1,849.4,8156.9,123326.77,-1117.3,804.1,3/31/2013,10308.7,386.8,169.5,10124,7049.8,9551.1,8162.9,13606.8,13606.8,2706.7,684.3,9621,121611.11,-1387.8,-116.4,3/31/2014,9993.6,-293.2,169.6,10864.6,4448.3,9737.8,8792.2,14586,14586,3984,1135.8,10607.5,121622.7,-1217.2,1430.4,3/31/2015,12057.4,-96.6,169.6,12206.3,3793.6,10482.8,9379.5,20307,20307,7402,1792,11496.1,116568.45,-516.9,1708.8,3/31/2016,13709,1678.6,169.6,12482.1,4175.8,10932.9,9876.4,21362.5,21362.5,6695.4,1729.6,11937.2,116893.04,-424.5,1775.8,3/31/2017,14366.7,1179.4,167.1,13111.9,6525.8,11835.8,10540.5,22503.6,22503.6,7152.2,1280,12538.9,115822.68,-239.8,1158.7,3/31/2018,14685.2,1619.1,160.5,15414.1,7059.6,13810.1,12312.6,23356,23356,7667.7,1820.6,14893.4,113527.4,-279.3,1926.2,3/31/2019,14298.4,1266.1,154.6,16907.8,6722.7,14201.1,12668.4,20214.7,20214.7,4968.7,2681.4,16337.7,110984.82,238,2719.6,3/31/2020,17910,3736.6,154.6,20079.2,10746.5,15765.5,13551.7,25514.7,25514.7,6494.8,4470.8,18855.5,113848.12,-2306.8,3354.3,3/31/2021
J K Cement Ltd.,14590.8,1367,699.3,29392.8,1543.6,27688.3,23764.9,36090.5,36090.5,7417.1,1773.3,28876.3,161108.17,-1737.2,5380.1,3/31/2012,16274.7,1803.8,699.3,33996.4,-212.2,32028.4,28241.3,39387.6,39387.6,9077.4,2335.5,33447.1,162939.42,-4135.2,4250.8,3/31/2013,16885.2,724.8,699.3,32694.5,1238.9,32109.9,28783.6,51455.2,51455.2,9834.8,970.3,32098.7,164793.86,-10498.4,2506.9,3/31/2014,15766.2,1232.6,699.3,39306.8,257.8,37747.1,34126.4,55696.3,55696.3,11351.3,1569.2,38738,166134.47,-4678.2,4783.6,3/31/2015,16203.7,696.7,699.3,41953,-39,40836.7,36009,59114.3,59114.3,11474,1033.3,41099.5,162437.18,-3897.1,5887.3,3/31/2016,18016,1715.6,699.3,44864.3,1195.2,42854.2,36842,61730.6,61730.6,11492.3,2107.8,43747.2,164952.26,-6553.8,7118.6,3/31/2017,20774.3,2745.4,699.3,48858.2,3025.8,45019.4,39520.2,64223.7,64223.7,12805.4,3418.7,47546.1,163638.7,-1312.9,7895.1,3/31/2018,28155.5,2406,772.7,56858.3,1912,53656.6,47949.2,73903.3,73903.3,15658.2,3249,56045.5,161421.1,-8632.9,7111.3,3/31/2019,30516.4,2373.7,772.7,62982.7,2889.4,59644.2,50515,83743.6,83743.6,18340.8,4003.8,61556.2,157546.1,-13113.5,10988.1,3/31/2020,36558.2,6028.3,772.7,73540.6,7715.3,67317.6,56570.2,97143.2,97143.2,20856.8,6028.3,71771.7,158589.22,-15119.9,15660.3,3/31/2021
J K Lakshmi Cement Ltd.,11140,812.9,611.8,19907.6,2084.5,18811.4,15868.1,28147.2,28147.2,5455,1087.8,19305.5,49144.9,-3535.5,3778.2,3/31/2012,12009.5,1414.6,588.4,23643.7,-314.7,21718.8,18633.5,31746.9,31746.9,6320.1,1757.4,23122.9,49068.42,-4883.6,3322.7,3/31/2013,12443.7,654.7,588.4,23421.3,-989.5,22475.8,19936.1,36049.2,36049.2,7321.9,930,23005.7,49497.91,-5156,3545.4,3/31/2014,12718.5,672.8,588.4,26079.9,-4455.2,25682.7,22681.9,42514.7,42514.7,11716.5,956,25818.2,49286.11,-4061.7,3515.2,3/31/2015,12452.4,-348.8,588.4,30160.2,-4698.6,30420.9,26974,44278.9,44278.9,12559.5,-65.6,29505.9,47874.07,-700,2975.5,3/31/2016,13228.4,784.6,588.4,33404,-2588.3,32443.4,28865.8,49074.1,49074.1,12503.5,820,32720.3,47003.31,-4156.1,3629.3,3/31/2017,13943.6,733.3,588.4,35921.1,-3840.8,35508.8,31528,48849.4,48849.4,13319.8,839.6,35261.8,47250.42,-888.2,4564.7,3/31/2018,14638.2,689.2,588.4,39531.5,-4483.4,37896.6,33959.9,48540.7,48540.7,13175.8,795.6,38950.8,45785.42,-784.8,6894.5,3/31/2019,16538.3,1891.3,588.4,41054.1,-3132.6,39422.1,34493.7,49664.9,49664.9,13391.6,2352.3,40551.8,45938.39,-1722,5412.5,3/31/2020,20200.7,3638.2,588.4,44656.1,-1062.3,40453.5,35407.3,50349.6,50349.6,13098.6,3638.2,43901.2,47585.77,-3276.1,8621.8,3/31/2021
J K Paper Ltd.,7148.1,254.9,1366.2,15859.4,1116.4,15532.1,14173.3,24054.5,24054.5,5490.6,493.2,15612.7,55919.71,-5946.1,51.8,3/31/2012,7388.7,297.1,1366.2,17602,-217.5,17351.2,16081.2,30886.3,30886.3,5726.5,377,17303.7,57139.41,-7916.6,1237.2,3/31/2013,6614.9,-771.9,1366.2,20810.2,-449.8,22188.9,17225.5,37359,37359,8869.1,-771.9,20471.5,57740.79,-3320.1,1302.3,3/31/2014,6413.8,-240.7,1366.2,25557.6,-181.3,26071,22997.4,36468,36468,8836.7,-240.7,25417.2,57385.04,-500.2,2539.7,3/31/2015,9625.6,608.7,1485.3,28515.1,-2554.5,27703.2,24195.5,38347.3,38347.3,8467.4,608.7,28313.5,53929.24,-335.1,4035,3/31/2016,11501,1538.9,1559.6,30508.2,133.3,28944.3,25149.2,39331.3,39331.3,8330,1628.3,30232.5,53022.93,-2597.2,5613.2,3/31/2017,14700.9,2306.4,1755,31772.2,441.3,29208.7,25158.9,39000.1,39000.1,7938.5,2601.4,31297.9,53548.08,465,5554.4,3/31/2018,18629.7,3834.8,1782.4,35568.6,3159.4,30724.6,25805.6,45021,45021,8185.9,4372,35004.8,51439.02,-8975.4,9134.4,3/31/2019,21898.1,3315.5,1782.4,33831.3,729.6,30140.2,25137.7,49163.8,49163.8,9408.7,4927.1,32867.5,51015.52,-2982.6,6364.8,3/31/2020,24308.2,3221.9,1694,30696.2,-321.6,26560.9,22740.6,61619.1,61619.1,10487.6,3221.9,29788.9,46560.23,-13256.3,5596.6,3/31/2021
J M Financial Ltd.,15630.1,-29.8,749.9,633,805,208,170.9,18025.1,18025.1,525,425,,60507.66,599.5,149,3/31/2012,15442.8,-278.7,751.6,561.9,1047,113.8,71.6,17727.7,17727.7,418,448.1,,60173.63,697.1,53.4,3/31/2013,15432,-56.5,755.3,871.6,1740.9,161.1,118.9,17909.5,17909.5,493.4,710.5,,60889.41,2405,-856.9,3/31/2014,15648.1,-304.4,783.7,1045.5,-1500.6,264.4,158.6,19488.7,19488.7,1940.2,781.1,17.4,60221.35,-2750.3,188.3,3/31/2015,15761.1,-26.1,789,1577.8,-4805.9,455.3,173.8,22810.4,22810.4,5145.7,1122.5,38.7,58408.02,158.7,-2207.1,3/31/2016,16460.7,546.1,794.5,1635.4,-1919.6,568.1,163.2,20559.9,20559.9,2190,1067.3,38.7,58408.02,1015,2569.9,3/31/2017,24072.3,601.1,837.9,4330.5,1928.1,2413.7,1177.4,27036.7,27036.7,753.8,1916.8,43.9,58264.87,-4723.9,1791.1,3/31/2018,23979.6,-285.1,839.9,2871,1717.5,1758,1056.5,26745.2,26745.2,581.8,1113,42.3,55115.42,1524.1,-373.2,3/31/2019,24891.6,839.4,841.2,3155.2,1567.1,1882.1,836,28531.7,28531.7,772.1,1273.1,42.3,55354.01,-879.8,1514.1,3/31/2020,34075.9,1584.1,952.7,3744.1,1491.6,1991.8,1029.1,38091.1,38091.1,1067.3,1752.3,42.3,55974.36,-4041.1,-3302.4,3/31/2021
J S W Energy Ltd.,51331.9,6092.7,16400.5,67045.6,-6160.2,57115.3,42893.1,160490.7,160490.7,34618.8,9930.3,63964.5,416433.22,-3589.7,9431.8,3/31/2013,53626.2,2187.2,16400.5,60654,-884.7,56515.9,39774.1,153908,153908,28121.2,6024.8,58026.1,407966.46,-252,15588.8,3/31/2014,59537.4,6014.9,16400.5,66273.8,915.4,54391.2,40357.9,154272.7,154272.7,25880.6,9962.8,63319.5,400239.51,-2280.6,26217.4,3/31/2015,69653.4,7900.1,16267.9,62669.7,-48874.3,50849,36945.2,186828.5,186828.5,68964.2,11820.7,57957.4,406569.03,-34681.7,22610.5,3/31/2016,67656.1,-1915.7,16279.5,43695.2,-19434.7,41747.7,31354.9,172930.7,172930.7,35873.2,1947.5,39782.2,379031.5,10845.3,14086.9,3/31/2017,82374.2,-5341.4,16400.5,47057.6,-11128.9,51500.4,34772.2,184631.8,184631.8,42555.3,-4442.8,41528,373195.19,-577.7,8462.4,3/31/2018,85266.1,2514.5,16408.7,55534.6,-8546.4,53020.1,42953.2,181329.8,181329.8,41325.4,2514.5,50572,371304.55,4447.2,3969.5,3/31/2019,77583,2999.5,16419,52035.9,-1825.7,47057.8,33898.4,158108,158108,32303.6,4978.1,42454.9,349521.13,13047.2,307.2,3/31/2020,99900.1,219,16423.3,30799.7,-2376.7,28937.9,20642.8,170128.7,170128.7,25468.8,1861.8,28288.5,345657.66,-3782.4,10857.8,3/31/2021,118480.4,2411.6,16396.7,38712.2,21694.6,33014,24829.5,191802.5,191802.5,23903.1,5698.2,35943.2,322148,7103.2,2523.1,3/31/2022
J S W Steel Ltd.,179343.1,13989.4,2231.2,348999.7,-69661.1,336048.1,294192,505919.8,505919.8,173759.6,16258.6,347073,1382166.65,-39281.3,21393.2,3/31/2012,193741.9,15075.4,2231.2,391284.7,-65710.4,375621.3,327864.3,547063,547063,155654.9,18012.2,388505.2,1392077.25,-44512.3,39246.6,3/31/2013,232169.9,9690.2,2417.2,496264.8,-94252,485867.3,405329.3,716765.3,716765.3,210023.3,13345.1,492954.3,1383496.12,-46873.8,52741.8,3/31/2014,246574.1,18128.8,2417.2,510068,-63629.9,506493.2,429213.3,774610.2,774610.2,207233.8,21664.8,503933.1,1383375.26,-41689.5,63604.8,3/31/2015,201093.5,-38497,2398.7,413198.7,-106482.4,437086.2,327077.3,821923.9,821923.9,218837.8,-35296.7,404991,1363674.91,-50327.7,56694.9,3/31/2016,237970,33590,2400,573300,-95630,552870,462860,896250,896250,260680,35770,569130,1357752.72,-62840,85610,3/31/2017,276050,39700,2410,681790,-71830,626210,526750,940940,940940,249720,46250,675380,1361257.69,-61340,121740,3/31/2018,345920,72130,2400,775920,-86510,696510,582210,1155830,1155830,360380,81210,767640,1318835.47,-114320,155780,3/31/2019,380610,41010,2400,652160,-61790,599520,509180,1312890,1312890,363430,52910,633950,1339986.15,-190920,141100,3/31/2020,466750,79100,2410,717160,-78000,641950,522940,1417420,1417420,378960,83930,699640,1330558.99,-26090,177330,3/31/2021
Jamna Auto Inds. Ltd.,1138.1,217.9,393.9,10950.8,-909.9,10552.1,9795.4,5780.3,5780.3,3346,428.4,10646,43788.72,-534.2,487.4,3/31/2012,1335.8,193.8,394.9,9686.4,-904.6,9498.2,8871.6,5553.2,5553.2,3154.7,291.4,9420.3,43808.66,-48.7,599.1,3/31/2013,1428.8,92.9,395,8368.7,-451,8034,7499.4,5072.4,5072.4,2384.3,142.9,8042,43429.96,238.3,308.7,3/31/2014,1593.8,188.2,396.2,11231.2,-587.9,11031.8,10483.6,4747.3,4747.3,2290.2,294.4,10989.1,42333.75,13.8,539.2,3/31/2015,2058.4,460.2,397.2,12745.9,-584.9,12074.7,11255.2,4726.4,4726.4,2060.4,723.2,12325.3,41556.44,-245.8,893.9,3/31/2016,2953.7,633.2,398.2,12661.9,-31,11728.5,10913.6,5510.4,5510.4,1694.5,1040.5,12239.7,41018.29,-433.3,418.5,3/31/2017,3866.9,917.9,398.3,16715.3,1114.2,15538,14426,7525.3,7525.3,2618.9,1253.4,16309.3,42533.06,-203.9,815.9,3/31/2018,4746.6,893.6,398.4,20835.2,785.6,20002.3,18662.4,9792.7,9792.7,4186.6,1397.8,20457.7,42174.3,-1145.8,2608.2,3/31/2019,4819.3,71.1,398.4,10824.9,665.7,9824.9,9008.6,7800.8,7800.8,1701.7,479.2,10589.6,41855.4,-957.1,51.3,3/31/2020,5488.9,667.6,398.4,10681.5,1051.6,10267.3,9539.8,8819.2,8819.2,2533.1,767.2,10529.2,40619.67,-187.1,2015.1,3/31/2021
Jindal Stainless (Hisar) Ltd.,,,,,,,,,,,,,53804.9,,,,,,,,,,,,,,,,53415.61,,,,,,0.1,,0.1,,0,0.1,0.1,,,,54052.64,,,3/31/2014,5511.2,123.2,,81890.1,-26018.4,82311.9,74728.1,58784.6,58784.6,51851.1,123.2,81452.4,53097.1,36.4,4532.3,3/31/2015,5750.5,248.3,462.4,70684.7,-12899.2,68851.4,60774.3,52468.1,52468.1,33049.4,248.3,70429.1,49888.39,-13878.5,8441.8,3/31/2016,8148.7,2180.2,471.9,77549.3,-70.7,77497.1,69025.5,64352,64352,30455.5,2180.2,76358.9,50077.14,-17925.9,6563.2,3/31/2017,12088.2,3957,471.9,96925.2,-473.4,91850.6,82937.9,64159.4,64159.4,28237,3957,95497.2,50619.79,-4573.8,14439.2,3/31/2018,14695.2,2616.5,471.9,92239.5,180.6,90106.1,82331.4,61560.4,61560.4,25821.7,2616.5,90961.4,48260.44,-1547.8,11355.6,3/31/2019,17890.6,3203.3,471.9,86205.8,2226,83017.5,76261.7,62714.2,62714.2,25439.4,3203.3,84913.1,47894.74,-1831.9,6364,3/31/2020,22678.2,4777.8,471.9,87276.6,1006.3,82893.5,76153.7,64119.2,64119.2,28036.2,4777.8,85866.2,46125.23,-3174.2,12038.6,3/31/2021
Jindal Stainless Ltd.,21442.3,-1039.1,379,85756.9,-6507.7,91603.3,80711.2,162338.2,162338.2,53783.9,-1039.1,84897.1,59459.81,-7888.7,5039.2,3/31/2012,14350.5,-8208.1,408.2,111676.4,-3782.1,123508.1,108660.8,176403.7,176403.7,59988.9,-8208.1,111144,60957.47,-207.5,1048.1,3/31/2013,1473.4,-13900.9,430.8,130333.2,-12873.4,143091.1,119623.8,168907.3,168907.3,67125.8,-13900.9,129633.4,59696.29,-5062,13007.5,3/31/2014,-2182,2230.8,452.8,77057.8,4289.1,72742.4,59448.5,146169.5,146169.5,50557.1,2230.8,64555.2,59486.09,204.7,4211.3,3/31/2015,12241.7,-5591.2,462.4,70800.8,14519.4,77959.2,66624,156069.7,156069.7,54228.9,-5591.2,70273.8,56648.41,10645,7655.1,3/31/2016,16363.1,583.4,798.9,93062,-20998.8,93717,80163.1,115658.6,115658.6,51581.7,583.4,89952.6,55098.2,-52.5,51822.4,3/31/2017,22557.8,3182.7,958.4,111546.2,-7262.6,106249.9,94546.6,113174.6,113174.6,38205.4,3182.7,109349.2,54861.73,-1837.1,14271.7,3/31/2018,23786.7,1390.4,958.4,126749.8,-7395.5,127722.8,116774.3,111297.3,111297.3,39097.6,1390.4,125642.7,51446.01,-1721.6,13531.7,3/31/2019,25598.7,1528.8,974.5,124075.3,-7774.7,123247,112141.8,111510.4,111510.4,40904.1,1528.8,122564.4,53469.16,-1620.3,11230.4,3/31/2020,30016.1,4279.2,974.5,118324,285.8,115032.9,103655.8,110609.9,110609.9,36980.5,4279.2,116763.8,51288.36,-1536.5,12946.1,3/31/2021
Jindal Steel & Power Ltd.,107519.3,19580.4,934.8,151724.3,-44660.4,134884.8,107496.9,336754,336754,129923.2,21106.5,147418.1,372740.19,-49928.4,29040.6,3/31/2012,122545.9,14396.6,934.8,173300.8,-44971.9,159109.3,123842.4,400671.9,400671.9,138057.7,15925.5,168858.4,380645.87,-42669.4,9218.9,3/31/2013,129728.4,11535,914.9,161271.3,-65148.5,144088.4,112581.5,435641.2,435641.2,149939.3,12919.5,157359.3,376769.54,-31156.4,27061.6,3/31/2014,124197.2,-3106.8,914.9,158768.9,-32231.5,163692,117070.6,483577.8,483577.8,132616.6,-3106.8,153607.5,374882.38,-31470.2,14483.1,3/31/2015,229741.8,-14185.3,914.9,150177.2,-89073.7,160714.5,118051.6,682279.7,682279.7,193564.8,-14185.3,146719.4,357387.86,8617.8,44215.1,3/31/2016,216747,-9864.5,915,156953.1,-72230.5,163046.2,121567.8,684075.8,684075.8,174333.5,-9864.5,157066.7,355092.67,-11111.2,40638.9,3/31/2017,226909.7,-3616.1,967.9,179846.4,-71259,186043.5,136369,690611,690611,186868,-3616.1,174947,355755.72,-8696.8,48601.9,3/31/2018,224469.7,-2629,967.9,283956.1,-84995.2,287682.2,217738.9,667552.9,667552.9,192669.4,-2629,275653.4,333364.79,-13465.6,69875.1,3/31/2019,236070.7,6176.7,1020,264805.9,-66579.8,260609.8,207167.8,646325.2,646325.2,186423.5,6176.7,262066.5,336068.02,-13663.3,70609.8,3/31/2020,325401.1,71543.1,1020,342555.9,38095.2,269182.4,200275.5,703992.9,703992.9,128475.5,71543.1,331293.2,319593.6,-35087.3,97601.2,3/31/2021
Johnson Controls-Hitachi Air Conditioning India Ltd.,1482.5,-7.4,229.6,8723.3,204.8,8340.9,8008.5,5998.2,5998.2,4160.2,32.6,8673.2,47134.04,-205.4,262,3/31/2012,1587.9,105.3,229.6,10237.7,920,10434.8,10071.9,8387.6,8387.6,5281.6,153,10192.1,46712.58,-1132,677.3,3/31/2013,2128.5,32.8,271.9,12101.8,584,12032.6,11440.3,7695.7,7695.7,4673,80.5,11993.5,46745.21,-717,580.3,3/31/2014,2856.8,728.5,271.9,17160.8,1051.6,17542.7,16818.7,10901.9,10901.9,7063.6,777.6,17072.6,46171.48,-512.1,546.7,3/31/2015,3307.6,450.7,271.9,18000.7,847.1,18236,17439.8,12118.5,12118.5,7201.8,499.8,17984.4,46452.91,-694.6,615.6,3/31/2016,4130.4,764.2,271.9,21053.3,1541.5,19629,18659.6,12616.3,12616.3,6770.7,813.3,21003,47613.96,-414.2,1715.5,3/31/2017,5080.1,952.4,271.9,22659.5,2648,21482.3,20323.7,14513.7,14513.7,7304.6,1001.5,22586.3,47112.29,-319.7,972.1,3/31/2018,5858,810.2,271.9,22567.2,2194.1,22732.3,21699.9,17470.8,17470.8,9196,859.4,22416.9,47178.9,-950.3,-810.1,3/31/2019,6613.3,786.1,271.9,22342,2565.9,23176.9,21845.3,18210.5,18210.5,8062.8,835.3,21977.4,46079.03,-1071.7,1398.9,3/31/2020,6946.6,331,271.9,16627.9,3396.3,15573,14505.2,18839.6,18839.6,7913.7,331,16469.4,43926.87,-260.8,3212.2,3/31/2021
