,Year,Company,Paid up equity capital (net of forfeited equity capital),Reserves and funds,Total income,Total expenses,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Net cash flow from operating activities,Net cash inflow or (outflow) from investing activities,Equity,Retained profits/losses during the year,Net working capital,Market Capitalisation,Operating expenses of non-finance cos
70,3/31/2012,Aavas Financiers Ltd.,27.25,-0.04,0.43,0.43,27.27,27.27,0.05,0.0,12.39,-0.65,-6.43,27.21,0.0,26.5,16220.53,0.07
71,3/31/2013,Aavas Financiers Ltd.,27.25,1.86,17.59,15.7,186.92,186.92,55.52,1.89,12.39,-172.49,-0.11,29.11,1.89,-49.3,16111.96,6.83
72,3/31/2014,Aavas Financiers Ltd.,29.92,26.35,57.33,50.14,418.64,418.64,102.83,7.19,12.39,-220.29,0.97,56.27,7.19,-96.76,15872.31,15.56
73,3/31/2015,Aavas Financiers Ltd.,32.92,68.52,108.19,89.11,864.46,864.46,227.72,19.08,12.39,-364.2,-1.03,101.44,19.08,-198.86,15783.08,21.36
74,3/31/2016,Aavas Financiers Ltd.,38.38,164.72,201.09,169.03,1714.18,1714.18,289.52,32.06,12.39,-596.1,-1.5,203.1,32.06,-39.21,15855.73,45.29
75,3/31/2017,Aavas Financiers Ltd.,58.16,508.17,314.28,256.43,2454.33,2454.33,354.65,57.85,12.39,-590.66,-15.38,566.33,57.85,-49.0,15456.19,64.33
76,3/31/2018,Aavas Financiers Ltd.,69.18,1120.49,494.46,401.37,4075.64,4075.64,109.45,93.09,12.39,-932.9,-217.59,1189.67,93.09,537.61,15203.91,155.0
77,3/31/2019,Aavas Financiers Ltd.,78.11,1758.84,710.98,535.07,5650.64,5650.64,106.94,175.91,12.39,-1276.09,-327.18,1836.9499999999998,175.91,708.36,15314.06,174.38
78,3/31/2020,Aavas Financiers Ltd.,78.32,2019.59,903.09,653.97,7693.71,7693.71,166.74,249.12,12.390000000000002,-1172.26,-341.74,2097.91,249.12,1197.61,15710.84,205.17
79,3/31/2021,Aavas Financiers Ltd.,78.5,2322.89,1105.33,815.83,9034.17,9034.17,202.77,289.5,12.39,-1070.71,-265.22,2401.39,289.5,1204.05,14960.31,229.83
80,12/31/2011,Abbott India Ltd.,21.25,522.9,1523.53,1476.65,1373.9,1373.9,588.96,120.53,1503.49,24.07,56.2,544.15,78.55,429.67,38327.05,1394.86
81,12/31/2012,Abbott India Ltd.,21.25,625.62,1723.04,1569.61,1559.31,1559.31,509.43,144.7,1670.87,101.35,-58.51,646.87,102.72,509.72,38596.91,1455.54
82,3/31/2014,Abbott India Ltd.,21.25,766.59,2356.5,2238.66,1907.69,1907.69,664.12,198.45,2303.62,155.3,-143.9,787.84,140.99,664.21,38062.07,2106.42
83,3/31/2015,Abbott India Ltd.,21.25,916.28,2359.4,2171.77,2232.12,2232.12,846.94,228.96,2288.35,214.78,-186.72,937.53,149.68,809.97,37665.98,2033.68
84,3/31/2016,Abbott India Ltd.,21.25,1174.35,2692.21,2422.1,1638.59,1638.59,394.33,255.25,2639.92,248.67,-77.19,1195.6,175.97,1026.69,38032.74,2258.07
85,3/31/2017,Abbott India Ltd.,21.25,1365.7,2998.86,2823.65,2086.91,2086.91,643.41,276.65,2932.71,307.23,-155.42,1386.95,187.14,1199.44,37993.43,2635.6
